alg,profile,value_bytes,hpack_entry_bytes,table_size,req1_bytes,req2_bytes,req3_bytes,indexed,wire_saved_per_request,payback_requests
RS256,minimal-access,744,789,4096,601,1,1,true,0,-
RS256,minimal-access,744,789,8192,604,1,1,true,0,-
RS256,minimal-access,744,789,16384,604,1,1,true,0,-
RS256,minimal-access,744,789,32768,605,1,1,true,0,-
RS256,minimal-access,744,789,65536,605,1,1,true,0,-
RS256,oidc-id-token,1048,1093,4096,842,1,1,true,0,-
RS256,oidc-id-token,1048,1093,8192,845,1,1,true,0,-
RS256,oidc-id-token,1048,1093,16384,845,1,1,true,0,-
RS256,oidc-id-token,1048,1093,32768,846,1,1,true,0,-
RS256,oidc-id-token,1048,1093,65536,846,1,1,true,0,-
RS256,enterprise-access,3029,3074,4096,2449,1,1,true,0,-
RS256,enterprise-access,3029,3074,8192,2452,1,1,true,0,-
RS256,enterprise-access,3029,3074,16384,2452,1,1,true,0,-
RS256,enterprise-access,3029,3074,32768,2453,1,1,true,0,-
RS256,enterprise-access,3029,3074,65536,2453,1,1,true,0,-
ES256,minimal-access,488,533,4096,492,1,1,true,0,-
ES256,minimal-access,488,533,8192,495,1,1,true,0,-
ES256,minimal-access,488,533,16384,495,1,1,true,0,-
ES256,minimal-access,488,533,32768,496,1,1,true,0,-
ES256,minimal-access,488,533,65536,496,1,1,true,0,-
ES256,oidc-id-token,792,837,4096,639,1,1,true,0,-
ES256,oidc-id-token,792,837,8192,642,1,1,true,0,-
ES256,oidc-id-token,792,837,16384,642,1,1,true,0,-
ES256,oidc-id-token,792,837,32768,643,1,1,true,0,-
ES256,oidc-id-token,792,837,65536,643,1,1,true,0,-
ES256,enterprise-access,2773,2818,4096,2246,1,1,true,0,-
ES256,enterprise-access,2773,2818,8192,2249,1,1,true,0,-
ES256,enterprise-access,2773,2818,16384,2249,1,1,true,0,-
ES256,enterprise-access,2773,2818,32768,2250,1,1,true,0,-
ES256,enterprise-access,2773,2818,65536,2250,1,1,true,0,-
EdDSA,minimal-access,488,533,4096,492,1,1,true,0,-
EdDSA,minimal-access,488,533,8192,495,1,1,true,0,-
EdDSA,minimal-access,488,533,16384,495,1,1,true,0,-
EdDSA,minimal-access,488,533,32768,496,1,1,true,0,-
EdDSA,minimal-access,488,533,65536,496,1,1,true,0,-
EdDSA,oidc-id-token,792,837,4096,640,1,1,true,0,-
EdDSA,oidc-id-token,792,837,8192,643,1,1,true,0,-
EdDSA,oidc-id-token,792,837,16384,643,1,1,true,0,-
EdDSA,oidc-id-token,792,837,32768,644,1,1,true,0,-
EdDSA,oidc-id-token,792,837,65536,644,1,1,true,0,-
EdDSA,enterprise-access,2773,2818,4096,2247,1,1,true,0,-
EdDSA,enterprise-access,2773,2818,8192,2250,1,1,true,0,-
EdDSA,enterprise-access,2773,2818,16384,2250,1,1,true,0,-
EdDSA,enterprise-access,2773,2818,32768,2251,1,1,true,0,-
EdDSA,enterprise-access,2773,2818,65536,2251,1,1,true,0,-
ML-DSA-44,minimal-access,3634,3679,4096,2911,1,1,true,0,-
ML-DSA-44,minimal-access,3634,3679,8192,2914,1,1,true,0,-
ML-DSA-44,minimal-access,3634,3679,16384,2914,1,1,true,0,-
ML-DSA-44,minimal-access,3634,3679,32768,2915,1,1,true,0,-
ML-DSA-44,minimal-access,3634,3679,65536,2915,1,1,true,0,-
ML-DSA-44,oidc-id-token,3938,3983,4096,3151,1,1,true,0,-
ML-DSA-44,oidc-id-token,3938,3983,8192,3154,1,1,true,0,-
ML-DSA-44,oidc-id-token,3938,3983,16384,3154,1,1,true,0,-
ML-DSA-44,oidc-id-token,3938,3983,32768,3155,1,1,true,0,-
ML-DSA-44,oidc-id-token,3938,3983,65536,3155,1,1,true,0,-
ML-DSA-44,enterprise-access,5919,5964,4096,4760,4760,4760,false,0,-
ML-DSA-44,enterprise-access,5919,5964,8192,4762,1,1,true,4759,2
ML-DSA-44,enterprise-access,5919,5964,16384,4762,1,1,true,4759,4
ML-DSA-44,enterprise-access,5919,5964,32768,4763,1,1,true,4759,7
ML-DSA-44,enterprise-access,5919,5964,65536,4763,1,1,true,4759,14
ML-DSA-65,minimal-access,4819,4864,4096,3848,3848,3848,false,0,-
ML-DSA-65,minimal-access,4819,4864,8192,3850,1,1,true,3847,3
ML-DSA-65,minimal-access,4819,4864,16384,3850,1,1,true,3847,5
ML-DSA-65,minimal-access,4819,4864,32768,3851,1,1,true,3847,9
ML-DSA-65,minimal-access,4819,4864,65536,3851,1,1,true,3847,18
ML-DSA-65,oidc-id-token,5123,5168,4096,4094,4094,4094,false,0,-
ML-DSA-65,oidc-id-token,5123,5168,8192,4096,1,1,true,4093,3
ML-DSA-65,oidc-id-token,5123,5168,16384,4096,1,1,true,4093,5
ML-DSA-65,oidc-id-token,5123,5168,32768,4097,1,1,true,4093,9
ML-DSA-65,oidc-id-token,5123,5168,65536,4097,1,1,true,4093,17
ML-DSA-65,enterprise-access,7104,7149,4096,5704,5704,5704,false,0,-
ML-DSA-65,enterprise-access,7104,7149,8192,5706,1,1,true,5703,2
ML-DSA-65,enterprise-access,7104,7149,16384,5706,1,1,true,5703,3
ML-DSA-65,enterprise-access,7104,7149,32768,5707,1,1,true,5703,6
