alg,provider,op,iters,median_us,p10_us,p90_us
RS256,SunRsaSign,sign,200,646.1,592.5,856.4
RS256,SunRsaSign,verify,200,33.6,31.0,41.8
RS256,BC,sign,200,609.9,570.9,736.3
RS256,BC,verify,200,32.0,30.3,45.3
ES256,SunEC,sign,200,133.1,115.8,250.7
ES256,SunEC,verify,200,339.0,319.3,700.2
ES256,BC,sign,200,120.3,112.8,177.0
ES256,BC,verify,200,115.0,105.2,157.0
EdDSA,SunEC,sign,200,397.8,366.0,554.8
EdDSA,SunEC,verify,200,335.5,315.6,447.5
EdDSA,BC,sign,200,46.9,37.1,88.7
EdDSA,BC,verify,200,71.0,54.2,88.4
ML-DSA-44,SUN,sign,200,323.0,120.5,928.5
ML-DSA-44,SUN,verify,200,73.4,58.8,126.1
ML-DSA-44,BC,sign,200,155.3,131.1,305.9
ML-DSA-44,BC,verify,200,67.5,62.1,134.8
ML-DSA-65,SUN,sign,200,265.3,131.3,608.6
ML-DSA-65,SUN,verify,200,72.0,69.0,86.5
ML-DSA-65,BC,sign,200,214.3,194.3,313.2
ML-DSA-65,BC,verify,200,100.9,94.0,120.2
ML-DSA-87,SUN,sign,200,313.2,180.8,791.2
ML-DSA-87,SUN,verify,200,111.2,106.5,122.7
ML-DSA-87,BC,sign,200,270.4,255.3,309.0
ML-DSA-87,BC,verify,200,118.2,107.4,134.5
SLH-DSA-SHA2-128s,BC,sign,10,521785.3,519508.9,525373.4
SLH-DSA-SHA2-128s,BC,verify,200,482.9,453.3,601.4
SLH-DSA-SHA2-128f,BC,sign,129,23246.8,22929.8,23940.3
SLH-DSA-SHA2-128f,BC,verify,200,1324.2,1270.2,1596.4
