alg,family,provider,profile,header_variant,raw_sig_bytes,raw_pub_bytes,header_b64,payload_b64,sig_b64,token_bytes,bearer_header_bytes,cookie_pair_bytes,jwks_entry_bytes,fits_cookie_4096,fits_nginx_8k,fits_apache_8190,fits_apigw_10240
RS256,CLASSICAL,BC,minimal-access,kid,256,270,67,326,342,737,759,752,405,true,true,true,true
RS256,CLASSICAL,BC,minimal-access,jwk,256,270,590,326,342,1260,1282,1275,405,true,true,true,true
RS256,CLASSICAL,BC,minimal-access,x5c,256,270,1500,326,342,2170,2192,2185,405,true,true,true,true
RS256,CLASSICAL,BC,oidc-id-token,kid,256,270,63,634,342,1041,1063,1056,405,true,true,true,true
RS256,CLASSICAL,BC,oidc-id-token,jwk,256,270,586,634,342,1564,1586,1579,405,true,true,true,true
RS256,CLASSICAL,BC,oidc-id-token,x5c,256,270,1496,634,342,2474,2496,2489,405,true,true,true,true
RS256,CLASSICAL,BC,enterprise-access,kid,256,270,67,2611,342,3022,3044,3037,405,true,true,true,true
RS256,CLASSICAL,BC,enterprise-access,jwk,256,270,590,2611,342,3545,3567,3560,405,true,true,true,true
RS256,CLASSICAL,BC,enterprise-access,x5c,256,270,1500,2611,342,4455,4477,4470,405,false,true,true,true
ES256,CLASSICAL,BC,minimal-access,kid,64,65,67,326,86,481,503,496,158,true,true,true,true
ES256,CLASSICAL,BC,minimal-access,jwk,64,65,260,326,86,674,696,689,158,true,true,true,true
ES256,CLASSICAL,BC,minimal-access,x5c,64,65,796,326,86,1210,1232,1225,158,true,true,true,true
ES256,CLASSICAL,BC,oidc-id-token,kid,64,65,63,634,86,785,807,800,158,true,true,true,true
ES256,CLASSICAL,BC,oidc-id-token,jwk,64,65,256,634,86,978,1000,993,158,true,true,true,true
ES256,CLASSICAL,BC,oidc-id-token,x5c,64,65,792,634,86,1514,1536,1529,158,true,true,true,true
ES256,CLASSICAL,BC,enterprise-access,kid,64,65,67,2611,86,2766,2788,2781,158,true,true,true,true
ES256,CLASSICAL,BC,enterprise-access,jwk,64,65,260,2611,86,2959,2981,2974,158,true,true,true,true
ES256,CLASSICAL,BC,enterprise-access,x5c,64,65,796,2611,86,3495,3517,3510,158,true,true,true,true
EdDSA,CLASSICAL,BC,minimal-access,kid,64,32,67,326,86,481,503,496,111,true,true,true,true
